Country,Year,Region,Income_Group,Maternal_Mortality_Ratio,Antenatal_Care_Coverage,Skilled_Birth_Attendance,Adolescent_Birth_Rate,Health_Expenditure_PCT_GDP
India,2000,East Asia,Lower-middle,118.7,80.3,35.7,90.0,7.81
India,2001,East Asia,Lower-middle,128.4,82.7,34.3,90.8,7.8
India,2002,East Asia,Lower-middle,128.3,81.2,37.1,92.0,8.51
India,2003,East Asia,Lower-middle,123.6,82.8,43.5,80.8,8.59
India,2004,East Asia,Lower-middle,126.8,82.0,42.2,91.6,7.92
India,2005,East Asia,Lower-middle,111.4,87.8,37.8,81.6,8.03
India,2006,East Asia,Lower-middle,113.5,87.2,40.5,93.3,8.64
India,2007,East Asia,Lower-middle,112.8,85.1,45.7,89.9,9.7
India,2008,East Asia,Lower-middle,113.1,93.7,44.6,85.2,7.71
India,2009,East Asia,Lower-middle,113.5,87.1,42.7,83.3,8.41
India,2010,East Asia,Lower-middle,95.9,88.1,48.2,85.7,8.99
India,2011,East Asia,Lower-middle,104.7,93.3,47.2,80.2,9.31
India,2012,East Asia,Lower-middle,99.4,89.9,51.2,86.0,8.02
India,2013,East Asia,Lower-middle,102.6,86.9,51.8,73.9,9.29
India,2014,East Asia,Lower-middle,91.8,94.9,45.6,76.0,8.95
India,2015,East Asia,Lower-middle,99.6,99.0,52.5,77.6,8.56
India,2016,East Asia,Lower-middle,81.3,96.3,52.3,77.9,9.51
India,2017,East Asia,Lower-middle,90.5,92.2,55.6,73.1,8.77
India,2018,East Asia,Lower-middle,82.8,93.2,53.0,76.2,9.17
India,2019,East Asia,Lower-middle,77.2,97.5,56.5,64.5,8.91
India,2020,East Asia,Lower-middle,81.2,95.4,62.1,69.2,9.05
India,2021,East Asia,Lower-middle,72.4,98.6,55.6,58.3,10.22
India,2022,East Asia,Lower-middle,75.1,99.0,60.9,62.2,9.3
India,2023,East Asia,Lower-middle,75.6,99.0,60.5,65.9,9.65
Nigeria,2000,Latin America,Low,409.6,43.5,33.6,58.2,12.03
Nigeria,2001,Latin America,Low,405.4,50.1,31.4,58.3,12.13
Nigeria,2002,Latin America,Low,437.8,47.6,32.4,64.0,12.38
Nigeria,2003,Latin America,Low,370.0,46.6,38.0,61.0,10.88
Nigeria,2004,Latin America,Low,391.6,51.8,33.3,61.5,13.13
Nigeria,2005,Latin America,Low,381.7,48.0,35.3,57.4,12.47
Nigeria,2006,Latin America,Low,366.7,52.3,37.5,57.4,12.85
Nigeria,2007,Latin America,Low,335.3,52.0,39.4,60.3,12.34
Nigeria,2008,Latin America,Low,362.7,55.8,34.6,60.7,12.05
Nigeria,2009,Latin America,Low,318.5,44.8,38.8,54.1,12.44
Nigeria,2010,Latin America,Low,323.4,50.9,44.9,58.1,12.93
Nigeria,2011,Latin America,Low,285.8,62.0,43.8,55.2,12.06
Nigeria,2012,Latin America,Low,316.6,57.2,44.1,56.1,13.54
Nigeria,2013,Latin America,Low,280.9,59.4,46.8,50.9,12.19
Nigeria,2014,Latin America,Low,331.2,58.9,41.3,48.9,13.23
Nigeria,2015,Latin America,Low,303.0,58.2,48.8,59.9,13.93
Nigeria,2016,Latin America,Low,264.7,57.7,48.5,39.8,12.57
Nigeria,2017,Latin America,Low,242.7,56.9,54.1,43.4,12.81
Nigeria,2018,Latin America,Low,286.5,59.9,52.3,43.3,12.51
Nigeria,2019,Latin America,Low,269.8,57.4,50.6,42.4,13.6
Nigeria,2020,Latin America,Low,240.5,62.6,48.5,55.3,12.99
Nigeria,2021,Latin America,Low,268.8,64.3,54.7,46.3,12.74
Nigeria,2022,Latin America,Low,255.8,63.2,59.0,42.9,13.58
Nigeria,2023,Latin America,Low,201.0,63.3,57.7,36.4,12.85
Ethiopia,2000,MENA,Upper-middle,80.3,34.1,22.6,118.6,11.35
Ethiopia,2001,MENA,Upper-middle,86.3,40.9,21.7,114.6,10.07
Ethiopia,2002,MENA,Upper-middle,80.6,36.0,23.3,109.7,10.18
Ethiopia,2003,MENA,Upper-middle,86.7,44.0,23.8,109.6,10.8
Ethiopia,2004,MENA,Upper-middle,94.1,38.8,29.3,117.4,10.8
Ethiopia,2005,MENA,Upper-middle,82.5,41.3,30.5,103.0,10.81
Ethiopia,2006,MENA,Upper-middle,78.9,41.7,31.9,108.9,10.23
Ethiopia,2007,MENA,Upper-middle,77.7,38.5,27.5,103.0,10.83
Ethiopia,2008,MENA,Upper-middle,66.7,45.4,27.2,111.5,10.41
Ethiopia,2009,MENA,Upper-middle,77.3,42.8,26.6,96.9,11.72
Ethiopia,2010,MENA,Upper-middle,71.9,43.6,26.2,107.6,12.08
Ethiopia,2011,MENA,Upper-middle,75.6,42.8,35.1,101.6,10.47
Ethiopia,2012,MENA,Upper-middle,67.4,48.7,37.3,92.0,10.89
Ethiopia,2013,MENA,Upper-middle,68.3,48.3,29.4,83.8,11.37
Ethiopia,2014,MENA,Upper-middle,60.6,46.4,36.0,99.5,11.55
Ethiopia,2015,MENA,Upper-middle,62.6,44.1,28.2,98.7,12.65
Ethiopia,2016,MENA,Upper-middle,58.3,49.8,40.4,99.9,12.11
Ethiopia,2017,MENA,Upper-middle,60.2,50.0,40.7,82.9,11.56
Ethiopia,2018,MENA,Upper-middle,60.2,50.1,41.7,82.7,12.07
Ethiopia,2019,MENA,Upper-middle,48.3,52.5,42.1,78.3,12.46
Ethiopia,2020,MENA,Upper-middle,52.2,58.1,48.2,81.1,11.62
Ethiopia,2021,MENA,Upper-middle,46.2,48.6,43.6,91.2,11.15
Ethiopia,2022,MENA,Upper-middle,53.3,56.5,47.6,86.2,11.64
Ethiopia,2023,MENA,Upper-middle,51.2,53.5,39.6,81.3,11.86
Pakistan,2000,Southeast Asia,Upper-middle,152.2,89.4,18.9,111.7,2.67
Pakistan,2001,Southeast Asia,Upper-middle,138.0,93.0,20.2,113.5,1.67
Pakistan,2002,Southeast Asia,Upper-middle,143.7,91.2,19.1,110.7,1.73
Pakistan,2003,Southeast Asia,Upper-middle,127.7,94.2,19.2,120.6,1.47
Pakistan,2004,Southeast Asia,Upper-middle,129.9,94.9,30.4,101.8,2.37
Pakistan,2005,Southeast Asia,Upper-middle,139.3,96.0,22.9,108.4,3.15
Pakistan,2006,Southeast Asia,Upper-middle,124.4,99.0,28.3,113.6,2.58
Pakistan,2007,Southeast Asia,Upper-middle,122.5,99.0,29.2,106.7,2.97
Pakistan,2008,Southeast Asia,Upper-middle,129.9,99.0,25.6,101.2,2.32
Pakistan,2009,Southeast Asia,Upper-middle,114.6,97.8,28.7,104.5,2.98
Pakistan,2010,Southeast Asia,Upper-middle,117.4,99.0,35.7,100.9,3.29
Pakistan,2011,Southeast Asia,Upper-middle,110.4,99.0,36.9,86.8,2.58
Pakistan,2012,Southeast Asia,Upper-middle,116.1,99.0,34.6,98.5,3.8
Pakistan,2013,Southeast Asia,Upper-middle,118.2,99.0,35.4,98.6,3.94
Pakistan,2014,Southeast Asia,Upper-middle,112.3,99.0,36.8,85.8,3.65
Pakistan,2015,Southeast Asia,Upper-middle,107.9,99.0,36.8,94.4,3.02
Pakistan,2016,Southeast Asia,Upper-middle,91.9,99.0,32.9,96.8,2.26
Pakistan,2017,Southeast Asia,Upper-middle,112.3,99.0,43.9,86.2,3.71
Pakistan,2018,Southeast Asia,Upper-middle,89.1,99.0,40.7,94.5,3.56
Pakistan,2019,Southeast Asia,Upper-middle,94.3,99.0,40.0,81.3,2.95
Pakistan,2020,Southeast Asia,Upper-middle,89.2,99.0,36.3,88.7,3.08
Pakistan,2021,Southeast Asia,Upper-middle,77.5,99.0,41.1,85.2,4.77
Pakistan,2022,Southeast Asia,Upper-middle,80.4,99.0,45.4,79.2,3.88
Pakistan,2023,Southeast Asia,Upper-middle,82.6,99.0,46.1,82.5,4.75
Bangladesh,2000,Southeast Asia,Upper-middle,407.6,81.3,20.3,32.9,8.6
Bangladesh,2001,Southeast Asia,Upper-middle,418.8,83.0,24.7,34.0,8.64
Bangladesh,2002,Southeast Asia,Upper-middle,384.2,76.7,18.5,31.2,9.02
Bangladesh,2003,Southeast Asia,Upper-middle,435.7,85.9,27.8,43.1,9.95
Bangladesh,2004,Southeast Asia,Upper-middle,340.9,85.3,29.4,30.8,8.63
Bangladesh,2005,Southeast Asia,Upper-middle,386.8,76.7,28.3,28.7,8.8
Bangladesh,2006,Southeast Asia,Upper-middle,391.0,83.7,29.9,35.9,9.51
Bangladesh,2007,Southeast Asia,Upper-middle,367.5,87.1,32.2,32.4,10.49
Bangladesh,2008,Southeast Asia,Upper-middle,375.8,85.3,28.9,33.7,9.79
Bangladesh,2009,Southeast Asia,Upper-middle,377.4,89.4,35.0,30.1,9.33
Bangladesh,2010,Southeast Asia,Upper-middle,329.7,88.7,28.6,35.8,10.89
Bangladesh,2011,Southeast Asia,Upper-middle,285.3,84.0,35.5,26.2,10.08
Bangladesh,2012,Southeast Asia,Upper-middle,316.1,85.9,39.8,31.0,9.75
Bangladesh,2013,Southeast Asia,Upper-middle,340.7,88.4,33.3,29.2,10.3
Bangladesh,2014,Southeast Asia,Upper-middle,312.4,92.8,39.7,30.2,9.92
Bangladesh,2015,Southeast Asia,Upper-middle,279.1,93.9,39.9,31.5,9.44
Bangladesh,2016,Southeast Asia,Upper-middle,274.7,98.2,41.9,28.4,10.74
Bangladesh,2017,Southeast Asia,Upper-middle,322.8,99.0,36.6,20.4,9.66
Bangladesh,2018,Southeast Asia,Upper-middle,253.3,94.4,43.2,18.4,9.62
Bangladesh,2019,Southeast Asia,Upper-middle,244.9,97.9,46.8,34.1,10.63
Bangladesh,2020,Southeast Asia,Upper-middle,269.8,99.0,43.1,27.1,11.06
Bangladesh,2021,Southeast Asia,Upper-middle,225.6,99.0,45.6,25.1,10.34
Bangladesh,2022,Southeast Asia,Upper-middle,220.2,91.1,47.0,36.8,10.39
Bangladesh,2023,Southeast Asia,Upper-middle,290.0,99.0,46.5,24.0,10.92
Tanzania,2000,Southeast Asia,Lower-middle,306.7,69.6,67.9,113.3,11.47
Tanzania,2001,Southeast Asia,Lower-middle,315.5,82.8,70.2,99.9,11.88
Tanzania,2002,Southeast Asia,Lower-middle,312.5,74.9,65.5,106.9,11.84
Tanzania,2003,Southeast Asia,Lower-middle,303.8,78.9,72.9,108.9,12.09
Tanzania,2004,Southeast Asia,Lower-middle,286.4,79.6,74.9,91.9,12.34
Tanzania,2005,Southeast Asia,Lower-middle,252.3,80.2,74.6,99.9,11.6
Tanzania,2006,Southeast Asia,Lower-middle,259.2,81.0,70.5,91.5,12.09
Tanzania,2007,Southeast Asia,Lower-middle,255.9,85.1,74.5,96.3,11.26
Tanzania,2008,Southeast Asia,Lower-middle,254.4,85.1,73.6,88.8,12.27
Tanzania,2009,Southeast Asia,Lower-middle,267.0,82.3,77.6,84.4,12.69
Tanzania,2010,Southeast Asia,Lower-middle,256.4,85.7,85.9,81.5,13.13
Tanzania,2011,Southeast Asia,Lower-middle,209.2,79.9,75.6,79.8,12.63
Tanzania,2012,Southeast Asia,Lower-middle,250.3,86.2,79.9,87.1,13.03
Tanzania,2013,Southeast Asia,Lower-middle,218.1,86.8,81.2,85.5,12.31
Tanzania,2014,Southeast Asia,Lower-middle,231.6,88.8,80.4,78.2,12.84
Tanzania,2015,Southeast Asia,Lower-middle,224.7,91.1,80.5,78.7,12.76
Tanzania,2016,Southeast Asia,Lower-middle,233.6,87.6,85.4,80.5,13.78
Tanzania,2017,Southeast Asia,Lower-middle,198.1,89.4,83.0,69.5,13.93
Tanzania,2018,Southeast Asia,Lower-middle,188.0,89.8,90.8,67.8,13.51
Tanzania,2019,Southeast Asia,Lower-middle,179.0,96.8,81.5,66.5,12.95
Tanzania,2020,Southeast Asia,Lower-middle,211.0,93.9,88.1,80.7,14.39
Tanzania,2021,Southeast Asia,Lower-middle,199.9,92.9,88.9,66.2,13.45
Tanzania,2022,Southeast Asia,Lower-middle,156.7,97.3,97.3,75.0,13.25
Tanzania,2023,Southeast Asia,Lower-middle,185.0,99.0,97.0,65.0,13.83
Kenya,2000,Southeast Asia,Lower-middle,701.6,85.1,47.6,96.6,5.17
Kenya,2001,Southeast Asia,Lower-middle,671.5,89.4,50.4,95.3,5.14
Kenya,2002,Southeast Asia,Lower-middle,760.4,85.3,54.4,92.1,6.41
Kenya,2003,Southeast Asia,Lower-middle,617.9,87.1,53.2,81.5,6.69
Kenya,2004,Southeast Asia,Lower-middle,645.5,88.7,56.8,87.1,7.27
Kenya,2005,Southeast Asia,Lower-middle,642.5,84.2,56.2,90.0,6.63
Kenya,2006,Southeast Asia,Lower-middle,591.3,92.5,53.2,92.0,5.79
Kenya,2007,Southeast Asia,Lower-middle,608.1,93.8,59.9,89.2,6.85
Kenya,2008,Southeast Asia,Lower-middle,648.2,94.6,59.3,87.0,5.86
Kenya,2009,Southeast Asia,Lower-middle,586.2,94.8,62.1,84.9,6.61
Kenya,2010,Southeast Asia,Lower-middle,614.6,92.9,61.4,85.9,6.1
Kenya,2011,Southeast Asia,Lower-middle,578.2,90.9,67.7,78.9,6.96
Kenya,2012,Southeast Asia,Lower-middle,561.1,89.1,63.0,84.2,7.41
Kenya,2013,Southeast Asia,Lower-middle,542.5,91.7,67.8,81.3,7.09
Kenya,2014,Southeast Asia,Lower-middle,562.1,94.6,65.6,64.1,7.61
Kenya,2015,Southeast Asia,Lower-middle,515.7,92.5,63.0,71.0,7.63
Kenya,2016,Southeast Asia,Lower-middle,479.8,96.0,66.3,68.9,6.36
Kenya,2017,Southeast Asia,Lower-middle,433.4,96.0,72.5,72.1,7.0
Kenya,2018,Southeast Asia,Lower-middle,545.0,98.1,75.0,79.8,6.71
Kenya,2019,Southeast Asia,Lower-middle,451.2,99.0,70.8,73.2,7.27
Kenya,2020,Southeast Asia,Lower-middle,416.9,99.0,72.6,63.4,8.07
Kenya,2021,Southeast Asia,Lower-middle,458.1,99.0,73.6,64.5,7.41
Kenya,2022,Southeast Asia,Lower-middle,490.8,99.0,73.3,67.6,7.66
Kenya,2023,Southeast Asia,Lower-middle,413.5,99.0,80.2,61.3,7.98
Uganda,2000,Latin America,Low,153.3,57.3,41.0,92.5,6.98
Uganda,2001,Latin America,Low,165.4,56.3,43.5,92.6,6.83
Uganda,2002,Latin America,Low,142.1,54.5,41.3,81.1,7.04
Uganda,2003,Latin America,Low,139.2,57.4,43.3,84.5,7.25
Uganda,2004,Latin America,Low,136.9,59.6,49.6,85.3,6.66
Uganda,2005,Latin America,Low,133.3,57.8,44.2,77.5,7.22
Uganda,2006,Latin America,Low,133.3,60.0,50.6,80.1,6.64
Uganda,2007,Latin America,Low,129.0,62.6,50.2,82.7,7.0
Uganda,2008,Latin America,Low,134.8,64.1,47.1,78.8,8.41
Uganda,2009,Latin America,Low,120.4,56.9,54.5,83.5,7.26
Uganda,2010,Latin America,Low,122.2,59.2,51.7,82.5,7.3
Uganda,2011,Latin America,Low,126.8,65.2,54.2,73.1,7.49
Uganda,2012,Latin America,Low,103.0,63.0,57.1,69.7,7.36
Uganda,2013,Latin America,Low,119.0,66.7,56.7,67.4,9.12
Uganda,2014,Latin America,Low,101.8,66.9,55.3,66.2,7.74
Uganda,2015,Latin America,Low,108.3,65.3,59.6,70.1,7.34
Uganda,2016,Latin America,Low,94.2,70.0,53.5,71.4,8.32
Uganda,2017,Latin America,Low,94.5,71.7,53.8,70.1,8.16
Uganda,2018,Latin America,Low,98.2,66.3,57.3,75.6,8.88
Uganda,2019,Latin America,Low,101.8,73.6,63.7,64.7,8.38
Uganda,2020,Latin America,Low,81.9,71.3,65.8,61.9,8.96
Uganda,2021,Latin America,Low,90.8,68.3,60.0,68.6,8.81
Uganda,2022,Latin America,Low,87.9,72.5,65.1,67.3,9.36
Uganda,2023,Latin America,Low,95.8,75.3,65.0,62.5,8.97
Mozambique,2000,South Asia,Lower-middle,112.4,56.6,89.4,11.9,11.76
Mozambique,2001,South Asia,Lower-middle,116.9,60.0,84.2,12.3,9.97
Mozambique,2002,South Asia,Lower-middle,111.8,54.9,84.9,13.4,10.41
Mozambique,2003,South Asia,Lower-middle,113.1,53.2,96.9,12.8,10.78
Mozambique,2004,South Asia,Lower-middle,101.8,51.3,90.2,11.4,11.81
Mozambique,2005,South Asia,Lower-middle,100.4,60.6,92.1,13.4,12.12
Mozambique,2006,South Asia,Lower-middle,105.1,66.1,89.7,13.5,12.2
Mozambique,2007,South Asia,Lower-middle,88.8,62.1,93.3,8.5,10.82
Mozambique,2008,South Asia,Lower-middle,91.5,52.2,91.6,15.8,11.35
Mozambique,2009,South Asia,Lower-middle,100.9,64.9,98.0,13.7,10.52
Mozambique,2010,South Asia,Lower-middle,86.9,60.3,92.6,11.7,12.57
Mozambique,2011,South Asia,Lower-middle,79.4,67.1,99.0,13.5,11.5
